crim,lstat,medv
8.05579,18.14,13.8
6.39312,24.1,13.3
4.87141,18.68,16.7
15.0234,24.91,12
10.233,18.03,14.6
14.3337,13.11,21.4
5.82401,10.74,23
5.70818,7.74,23.7
5.73116,7.01,25
2.81838,10.42,21.8
2.37857,13.34,20.6
3.67367,10.58,21.2
5.69175,14.98,19.1
4.83567,11.45,20.6
0.15086,18.06,15.2
0.18337,23.97,7
0.20746,29.68,8.1
0.10574,18.07,13.6
0.11132,13.35,20.1
0.17331,12.01,21.8
0.27957,13.59,24.5
0.17899,17.6,23.1
0.2896,21.14,19.7
0.26838,14.1,18.3
0.23912,12.92,21.2
0.17783,15.1,17.5
0.22438,14.33,16.8
0.06263,9.67,22.4
0.04527,9.08,20.6
0.06076,5.64,23.9
0.10959,6.48,22
0.04741,7.88,11.9